shape,setup,causal,reference_ms,sdpa_ms,triton_ms,sdpa_speedup,triton_speedup,sdpa_max_abs,triton_max_abs,sdpa_pass,triton_pass
B1S32D32,"B=1,H=4,S=32,D_head=32",False,0.038748159408569335,0.010465279817581177,0.04341760158538818,3.702544039336077,0.892452783978968,1.7881393432617188e-06,4.76837158203125e-07,True,True
B1S128D64,"B=1,H=8,S=128,D_head=64",False,0.038748159408569335,0.02490367889404297,0.04966400146484375,1.555921097980347,0.7802061506461265,1.3113021850585938e-06,4.76837158203125e-07,True,True
B8S128D64,"B=8,H=8,S=128,D_head=64",False,0.09183232307434082,0.10199040412902832,0.2588057518005371,0.9004016001168454,0.3548310747943363,2.086162567138672e-06,7.152557373046875e-07,True,True
B2S256D64,"B=2,H=8,S=256,D_head=64",False,0.10180607795715332,0.10596351623535157,0.2607513618469238,0.9607653801430645,0.39043354265171354,1.4007091522216797e-06,7.748603820800781e-07,True,True
B2S512D64,"B=2,H=8,S=512,D_head=64",False,0.421580810546875,0.38051776885986327,0.9640345764160156,1.1079135983847692,0.4373088070286679,1.043081283569336e-06,7.152557373046875e-07,True,True
B4S128D64-causal,"B=4,H=8,S=128,D_head=64",True,0.10207232475280761,0.04874239921569824,0.6079283142089844,2.0941177782634393,0.1679019094309181,1.9073486328125e-06,7.152557373046875e-07,True,True
B1S128D128,"B=1,H=8,S=128,D_head=128",False,0.0531820821762085,0.04048895835876465,0.0779468822479248,1.3134959340018726,0.6822862010959313,1.9073486328125e-06,5.364418029785156e-07,True,True
