shape_group,shape,setup,technique,accuracy,failed,checked,baseline_ms,optimized_ms,speedup
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",10101,PASS,0,131072,1.2974,1.2001,1.081
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",10110,PASS,0,131072,1.2836,2.6527,0.484
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",10111,PASS,0,131072,1.2472,1.2443,1.002
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",11000,PASS,0,131072,1.1797,0.9202,1.282
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",11001,PASS,0,131072,1.2874,0.9788,1.315
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",11010,PASS,0,131072,1.1836,0.9420,1.257
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",11011,PASS,0,131072,1.2418,0.9928,1.251
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",11100,PASS,0,131072,1.2486,2.2681,0.551
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",11101,PASS,0,131072,1.2418,0.9806,1.266
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",11110,PASS,0,131072,1.2499,2.3305,0.536
batch×sequence,B1 S128,"B=1,S=128,D=512,H=8,FFN=2048,L=6",11111,PASS,0,131072,1.2911,1.0021,1.288
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",00000,PASS,0,262144,1.3771,1.3765,1.000
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",00001,PASS,0,262144,1.3778,1.4063,0.980
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",00010,PASS,0,262144,1.3776,1.4284,0.964
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",00011,PASS,0,262144,1.3771,1.4274,0.965
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",00100,PASS,0,262144,1.3757,2.7386,0.502
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",00101,PASS,0,262144,1.3760,2.7323,0.504
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",00110,PASS,0,262144,1.3759,2.8255,0.487
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",00111,PASS,0,262144,1.3750,2.7933,0.492
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",01000,PASS,0,262144,1.3770,1.4109,0.976
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",01001,PASS,0,262144,1.3770,1.4100,0.977
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",01010,PASS,0,262144,1.3760,1.4301,0.962
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",01011,PASS,0,262144,1.3769,1.4303,0.963
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",01100,PASS,0,262144,1.3763,2.5368,0.543
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",01101,PASS,0,262144,1.3762,2.5344,0.543
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",01110,PASS,0,262144,1.3755,2.5779,0.534
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",01111,PASS,0,262144,1.3749,2.5540,0.538
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",10000,PASS,0,262144,1.3761,1.2165,1.131
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",10001,PASS,0,262144,1.3762,1.2184,1.130
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",10010,PASS,0,262144,1.3760,1.2388,1.111
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",10011,PASS,0,262144,1.3769,1.2377,1.112
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",10100,PASS,0,262144,1.3751,2.5586,0.537
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",10101,PASS,0,262144,1.3748,2.5637,0.536
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",10110,PASS,0,262144,1.3759,2.6909,0.511
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",10111,PASS,0,262144,1.3760,2.7022,0.509
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",11000,PASS,0,262144,1.3752,1.2219,1.125
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",11001,PASS,0,262144,1.3759,1.2195,1.128
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",11010,PASS,0,262144,1.3751,1.2420,1.107
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",11011,PASS,0,262144,1.3756,1.2420,1.108
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",11100,PASS,0,262144,1.3740,2.2470,0.611
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",11101,PASS,0,262144,1.3748,2.2300,0.617
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",11110,PASS,0,262144,1.3737,2.3239,0.591
batch×sequence,B1 S256,"B=1,S=256,D=512,H=8,FFN=2048,L=6",11111,PASS,0,262144,1.3732,2.3500,0.584
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",00000,PASS,0,65536,1.2576,1.2640,0.995
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",00001,PASS,0,65536,1.2646,1.3915,0.909
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",00010,PASS,0,65536,1.2936,1.4430,0.896
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",00011,PASS,0,65536,1.3212,1.4738,0.896
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",00100,PASS,0,65536,1.3287,2.7894,0.476
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",00101,PASS,0,65536,1.2728,1.4099,0.903
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",00110,PASS,0,65536,1.2673,2.8119,0.451
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",00111,PASS,0,65536,1.2441,1.4205,0.876
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",01000,PASS,0,65536,1.1920,1.1881,1.003
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",01001,PASS,0,65536,1.2640,1.2214,1.035
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",01010,PASS,0,65536,1.2534,1.2360,1.014
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",01011,PASS,0,65536,1.2689,1.2584,1.008
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",01100,PASS,0,65536,1.2626,2.4336,0.519
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",01101,PASS,0,65536,1.2639,1.2238,1.033
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",01110,PASS,0,65536,1.2810,2.5284,0.507
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",01111,PASS,0,65536,1.3108,1.2922,1.014
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",10000,PASS,0,65536,1.2899,1.2587,1.025
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",10001,PASS,0,65536,1.3145,1.3043,1.008
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",10010,PASS,0,65536,1.2908,1.3104,0.985
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",10011,PASS,0,65536,1.3012,1.3241,0.983
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",10100,PASS,0,65536,1.2560,2.5782,0.487
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",10101,PASS,0,65536,1.2860,1.2790,1.005
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",10110,PASS,0,65536,1.3079,2.6793,0.488
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",10111,PASS,0,65536,1.3098,1.3260,0.988
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",11000,PASS,0,65536,1.3093,1.0256,1.277
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",11001,PASS,0,65536,1.2642,0.9726,1.300
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",11010,PASS,0,65536,1.2663,1.0192,1.243
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",11011,PASS,0,65536,1.2671,1.0332,1.226
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",11100,PASS,0,65536,1.2673,2.2165,0.572
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",11101,PASS,0,65536,1.2828,1.0022,1.280
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",11110,PASS,0,65536,1.3310,2.3935,0.556
batch×sequence,B2 S32,"B=2,S=32,D=512,H=8,FFN=2048,L=6",11111,PASS,0,65536,1.3253,1.0763,1.231
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",00000,PASS,0,131072,1.2948,1.2749,1.016
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",00001,PASS,0,131072,1.2468,1.3860,0.900
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",00010,PASS,0,131072,1.2484,1.4176,0.881
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",00011,PASS,0,131072,1.2440,1.4122,0.881
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",00100,PASS,0,131072,1.2500,2.7024,0.463
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",00101,PASS,0,131072,1.2397,1.3763,0.901
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",00110,PASS,0,131072,1.2436,2.7925,0.445
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",00111,PASS,0,131072,1.2467,1.4200,0.878
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",01000,PASS,0,131072,1.3031,1.2279,1.061
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",01001,PASS,0,131072,1.2454,1.2001,1.038
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",01010,PASS,0,131072,1.3017,1.2489,1.042
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",01011,PASS,0,131072,1.3070,1.3060,1.001
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",01100,PASS,0,131072,1.3091,2.5892,0.506
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",01101,PASS,0,131072,1.3081,1.2314,1.062
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",01110,PASS,0,131072,1.2837,2.5746,0.499
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",01111,PASS,0,131072,1.2391,1.1849,1.046
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",10000,PASS,0,131072,1.1996,1.1640,1.031
batch×sequence,B2 S64,"B=2,S=64,D=512,H=8,FFN=2048,L=6",10001,PASS,0,131072,1.1813,1.1695,1.010
