case_id,batch_size,d_model,heads,seq_len,layers,ffn_dim,causal,status,accuracy_status,accuracy_failed,accuracy_total,baseline_median_ms,optimized_median_ms,speedup,duration_seconds
1,64,128,4,128,4,128,True,PASS,PASS,0,20971520,1.1165,0.8383,1.332,4.531381368637085
2,1,128,4,128,4,128,True,PASS,PASS,0,327680,1.1261,0.8735,1.289,3.962322950363159
3,4,128,4,128,4,128,True,PASS,PASS,0,1310720,1.11,0.8568,1.295,3.9433536529541016
4,16,128,4,128,4,128,True,PASS,PASS,0,5242880,1.139,0.8852,1.287,3.9932830333709717
5,128,128,4,128,4,128,True,PASS,PASS,0,41943040,1.989,1.0308,1.93,5.074830055236816
6,10000,128,4,128,4,128,True,PASS,PASS,0,3276800000,266.5592,90.5426,2.944,373.9371485710144
7,64,32,4,128,4,32,True,PASS,PASS,0,5242880,1.052,1.0844,0.97,3.844660520553589
8,64,1024,4,128,4,1024,True,PASS,PASS,0,167772160,7.2001,7.4325,0.969,17.111204385757446
9,64,128,1,128,4,128,True,PASS,PASS,0,20971520,0.9548,0.8164,1.169,5.200449466705322
10,64,128,2,128,4,128,True,PASS,PASS,0,20971520,1.1037,0.857,1.288,3.9311554431915283
11,64,128,16,128,4,128,True,PASS,PASS,0,20971520,3.6221,3.6201,1.001,9.175857067108154
12,64,128,4,32,4,128,True,PASS,PASS,0,5242880,1.0419,0.8232,1.266,4.0404276847839355
13,64,128,4,1024,4,128,True,PASS,PASS,0,167772160,70.1592,14.3836,4.878,89.88169050216675
14,32,1024,16,100000,2,1024,True,PREFLIGHT_BLOCKED,,,,,,,0.0
